QTY,"CAT
PG#",CATEGORY / SKU,CASE QTY,ITEM DESCRIPTION,,,UPC,START DATE,AUTH PRICE,AUTH PLUS ,AUTH AMT,AUTH PLUS AMT,MAP,MSRP
,,MPAMD2S,100,NcSTAR® PICATINNY RAIL ADAPTER TO M-LOK®  MEDIUM – 2 FULL SLOTS,,,848754015037,2/11/2022, $ 5.24 , $ 5.45 ,  ,  , $ 12.99 , $ 14.99 
,,MPAMD3S,100,NcSTAR® PICATINNY RAIL ADAPTER TO M-LOK®  MEDIUM – 1 FULL and 2 HALF SLOTS,,,848754015020,2/11/2022, $ 5.24 , $ 5.45 ,  ,  , $ 12.99 , $ 14.99 
,,MPAMS,120,RUGER 1022 RECEIVER MOUNT/BLACK/HIGH/GEN 2,,,848754015044,2/11/2022, $ 3.77 , $ 3.92 ,  ,  , $ 8.99 , $ 10.99 
,58,MPR45,100,45 DEGREE OFF-SET RAIL MOUNT/WEAVER STYLE ,,,814108019389,9/23/2010, $ 7.69 , $ 8.01 ,  ,  , $ 13.99 , $ 16.99 
,52,MRUB1022V2,100,RUGER 1022 RECEIVER MOUNT/BLACK/GEN 2,,,848754003201,1/28/2015, $ 6.99 , $ 7.26 ,  ,  , $ 10.99 , $ 13.99 
,52,MRUBV2,50,RUGER MINI 14/30 RECEIVER MOUNT/BLACK/GEN 2,,,848754004109,12/8/2015, $ 8.38 , $ 8.72 ,  ,  , $ 13.99 , $ 17.99 
,52,MRUHB1022V2,100,RUGER 1022 RECEIVER MOUNT/BLACK/HIGH/GEN 2,,,848754003218,, $ 6.99 , $ 7.26 ,  ,  , $ 10.99 , $ 13.99 
,52,MRUMK2,250,RUGER MK2 PISTOL MICRO DOT MOUNT,,,848754003461,9/23/2015, $ 6.99 , $ 7.26 ,  ,  , $ 12.99 , $ 16.99 
,50,MSAK,50,AK SIDE RAIL OPTICS MOUNT ,,,814108016869,5/10/2011, $ 17.33 , $ 18.02 ,  ,  , $ 26.99 , $ 32.99 
,53,MSHBAYMOS,100,BAYONET MOUNT W/SLING STUD - MOSBERG 500,,,848754002341,1/28/2015, $ 11.18 , $ 11.63 ,  ,  , $ 17.99 , $ 23.99 
,53,MSHBAYREM,100,BAYONET MOUNT W/SLING STUD - REMINGTON 870/11-87,,,848754002358,1/28/2015, $ 8.38 , $ 8.72 ,  ,  , $ 13.99 , $ 19.99 
